Filial,Documento,Nome_Cliente,Nome_Vendedor,Produtos,Quantidade,Preco_Unitario,Total,Estado_Cliente,Data_Compra,Data_Devolucao,Status
Parana,1469,Inovação Esfera Quântica Ltda,Henrique,XBOX 360,35,1299,45465, Mato Grosso (MT) ,2021-08-18,,Sem Devolução
Parana,7070,Corporação TechVantage,Maria,PlayStation 2,4,499,1996, Paraná (PR) ,2020-08-29,2020-09-19,Com Devolução
São Paulo,2931,Grupo Borda de Inovação Ltda,Henrique,PlayStation 4,32,1399,44768, Goiás (GO) ,2020-08-16,,Sem Devolução
Parana,3695,Empresa Visionária de Inovações S.A,Taize,Nintendo DS,14,389,5446, Amazonas (AM) ,2022-07-28,,Sem Devolução
Rio de Janeiro,3946,InovarHub S.A,Vanessa,Nintendo Wii,12,1699,20388, Rio de Janeiro (RJ) ,2020-12-28,,Sem Devolução
Parana,9471,Tecnologias Ondas Futuras Ltda,João,Nintendo Wii,22,1699,37378, Pernambuco (PE) ,2021-07-03,,Sem Devolução
Parana,9032,Grupo Dinâmica Horizon Ltda,Paulo,PlayStation 1,7,199,1393, Goiás (GO) ,2024-12-09,,Sem Devolução
São Paulo,4735,Soluções Núcleo Quântico Ltda,Taize,PlayStation 1,13,199,2587, Maranhão (MA) ,2021-06-11,,Sem Devolução
São Paulo,3451,Empresas Esfera de Sinergia Ltda,Vanessa,PlayStation 4,7,1399,9793, Bahia (BA) ,2024-08-10,,Sem Devolução
Parana,2286,Inovação QuantumLeap Ltda,Paulo,XBOX 360,36,1299,46764, Rio Grande do Sul (RS) ,2021-07-27,,Sem Devolução
Parana,9608,VisionáriaTech S.A,João,PlayStation 1,14,199,2786, Sergipe (SE) ,2023-06-02,,Sem Devolução
Rio de Janeiro,4011,Empreendimentos NexusTech Ltda,João,Nintendo Wii,28,1699,47572, Paraná (PR) ,2023-09-29,,Sem Devolução
Rio de Janeiro,7021,Soluções Núcleo Quântico Ltda,João,PlayStation 2,22,499,10978, Maranhão (MA) ,2023-08-18,2023-08-19,Com Devolução
São Paulo,8753,Empreendimentos NexusTech Ltda,Henrique,PlayStation 2,24,499,11976, Minas Gerais (MG) ,2021-02-17,,Sem Devolução
Rio de Janeiro,1039,Indústrias ApexTech Ltda,Taize,XBOX 360,27,1299,35073, Espírito Santo (ES) ,2023-02-26,2023-03-02,Com Devolução
Rio de Janeiro,9490,Empresa Visionária de Inovações S.A,Vanessa,PlayStation 1,7,199,1393, Rio de Janeiro (RJ) ,2020-09-01,,Sem Devolução
São Paulo,6617,Sistemas Sinérgicos Ltda,João,Nintendo Wii,6,1699,10194, Maranhão (MA) ,2022-07-15,2022-07-17,Com Devolução
Rio de Janeiro,4183,Inovação Esfera Quântica Ltda,Vanessa,XBOX 360,21,1299,27279, Espírito Santo (ES) ,2022-10-09,,Sem Devolução
Rio de Janeiro,9390,Grupo Dinâmica Horizon Ltda,Vanessa,PlayStation 1,12,199,2388, Espírito Santo (ES) ,2024-10-10,,Sem Devolução
Parana,7569,Indústrias ApexTech Ltda,Maria,Nintendo Wii,16,1699,27184, Minas Gerais (MG) ,2024-12-12,,Sem Devolução
São Paulo,7608,Empreendimentos NexusTech Ltda,Henrique,Nintendo Wii,27,1699,45873, Rio Grande do Norte (RN) ,2021-10-30,2021-11-17,Com Devolução
Parana,1084,Corporação NexusGen,Vanessa,Game Boy,23,79,1817, Rio Grande do Norte (RN) ,2020-09-16,,Sem Devolução
Parana,5419,Corporação TechNex,João,Game Boy,21,79,1659, Paraná (PR) ,2022-02-01,2022-02-01,Com Devolução
São Paulo,4913,Laboratórios InovateX Ltda,Maria,XBOX ONE S,35,1499,52465, Maranhão (MA) ,2021-09-12,,Sem Devolução
São Paulo,9873,Tecnologias Impulso Quântico Ltda,Paulo,PlayStation 4,37,1399,51763, Rio Grande do Sul (RS) ,2023-02-27,,Sem Devolução
Parana,1036,Tecnologias Ondas Futuras Ltda,Paulo,XBOX 360,17,1299,22083, São Paulo (SP) ,2023-12-16,,Sem Devolução
Rio de Janeiro,3405,Empreendimentos NexusTech Ltda,Maria,PlayStation 1,23,199,4577, Bahia (BA) ,2024-11-30,2024-12-05,Com Devolução
Parana,2973,Sistemas Sinérgicos Ltda,Vanessa,PlayStation 1,15,199,2985, São Paulo (SP) ,2021-11-11,,Sem Devolução
São Paulo,5365,Corporação TechVantage,Vanessa,XBOX ONE S,17,1499,25483, Amazonas (AM) ,2022-04-27,2022-05-18,Com Devolução
São Paulo,4251,Tecnologias Impulso Quântico Ltda,Paulo,Game Boy,28,79,2212, Rio de Janeiro (RJ) ,2024-03-09,,Sem Devolução
Parana,6503,Indústrias ApexTech Ltda,Vanessa,Nintendo Wii,12,1699,20388, Mato Grosso (MT) ,2022-07-02,2022-07-24,Com Devolução
Parana,2263,Corporação TechVantage,Vanessa,XBOX 360,35,1299,45465, Paraná (PR) ,2022-06-03,,Sem Devolução
Rio de Janeiro,3305,Tecnologias Impulso Quântico Ltda,Maria,PlayStation 4,35,1399,48965, Distrito Federal (DF) ,2023-11-14,,Sem Devolução
Rio de Janeiro,8588,Grupo Borda de Inovação Ltda,Vanessa,XBOX ONE S,4,1499,5996, Mato Grosso (MT) ,2021-10-15,,Sem Devolução
São Paulo,4952,Inovação QuantumLeap Ltda,Paulo,XBOX ONE S,11,1499,16489, Acre (AC) ,2024-01-20,2024-02-16,Com Devolução
Rio de Janeiro,3136,Tecnologias Impulso Quântico Ltda,Vanessa,Game Boy,1,79,79, Ceará (CE) ,2024-03-21,2024-03-23,Com Devolução
São Paulo,4369,Corporação NexusGen,Vanessa,XBOX 360,16,1299,20784, Mato Grosso (MT) ,2024-08-04,,Sem Devolução
São Paulo,2884,Tecnologias Impulso Quântico Ltda,Taize,XBOX ONE S,13,1499,19487, Pará (PA) ,2024-06-15,,Sem Devolução
Rio de Janeiro,9376,Tecnologias Ondas Futuras Ltda,Paulo,PlayStation 1,8,199,1592, Paraná (PR) ,2023-11-27,2023-12-25,Com Devolução
Rio de Janeiro,4205,Empreendimentos NovaGenius Ltda,Maria,Nintendo DS,34,389,13226, Mato Grosso do Sul (MS) ,2020-06-24,,Sem Devolução
São Paulo,4732,Corporação TechNex,Maria,PlayStation 1,24,199,4776, Pará (PA) ,2024-10-31,2024-11-22,Com Devolução
São Paulo,1607,Soluções Núcleo Quântico Ltda,Henrique,PlayStation 1,11,199,2189, Paraíba (PB) ,2020-05-17,,Sem Devolução
Parana,5740,Empreendimentos NovaGenius Ltda,Taize,Nintendo Wii,26,1699,44174, Mato Grosso (MT) ,2023-12-14,,Sem Devolução
Parana,7043,Inovação Esfera Quântica Ltda,Henrique,Nintendo Wii,3,1699,5097, Sergipe (SE) ,2022-08-15,,Sem Devolução
Parana,4277,Sistemas Sinérgicos Ltda,João,PlayStation 1,1,199,199, São Paulo (SP) ,2023-07-09,2023-07-15,Com Devolução
Rio de Janeiro,1354,VisionáriaTech S.A,Taize,XBOX ONE S,12,1499,17988, Amazonas (AM) ,2024-11-26,,Sem Devolução
Parana,8263,Empresas Esfera de Sinergia Ltda,João,Game Boy,15,79,1185, Rio Grande do Norte (RN) ,2020-12-17,2020-12-29,Com Devolução
São Paulo,4087,Corporação TechNex,Paulo,XBOX 360,13,1299,16887, Mato Grosso (MT) ,2023-02-23,2023-03-01,Com Devolução
São Paulo,6107,Empreendimentos NovaGenius Ltda,Taize,XBOX 360,29,1299,37671, Bahia (BA) ,2023-06-28,,Sem Devolução
Parana,3047,Sistemas Sinérgicos Ltda,Vanessa,PlayStation 2,16,499,7984, Espírito Santo (ES) ,2022-06-25,2022-07-07,Com Devolução
São Paulo,9937,Laboratórios InovateX Ltda,Maria,XBOX ONE S,15,1499,22485, São Paulo (SP) ,2021-08-28,,Sem Devolução
Rio de Janeiro,7296,Empresas Esfera de Sinergia Ltda,Maria,Nintendo DS,13,389,5057, Amazonas (AM) ,2023-11-05,,Sem Devolução
São Paulo,9044,Corporação NexusGen,Henrique,PlayStation 2,5,499,2495, Distrito Federal (DF) ,2024-01-07,,Sem Devolução
Rio de Janeiro,3162,Corporação NexusGen,Paulo,PlayStation 1,9,199,1791, Mato Grosso (MT) ,2020-04-17,,Sem Devolução
Parana,8948,Grupo Borda de Inovação Ltda,Taize,Game Boy,17,79,1343, Sergipe (SE) ,2022-05-01,,Sem Devolução
Parana,6754,Sistemas Sinérgicos Ltda,Taize,PlayStation 1,21,199,4179, Piauí (PI) ,2021-07-22,,Sem Devolução
Rio de Janeiro,2238,Sistemas Sinérgicos Ltda,Paulo,PlayStation 1,30,199,5970, Bahia (BA) ,2021-05-27,,Sem Devolução
Parana,5377,Corporação NexusGen,Vanessa,Nintendo Wii,31,1699,52669, Rio Grande do Sul (RS) ,2023-12-19,,Sem Devolução
Parana,8033,Empreendimentos NovaGenius Ltda,Henrique,XBOX 360,23,1299,29877, Mato Grosso (MT) ,2024-03-14,,Sem Devolução
Parana,3726,Inovação QuantumLeap Ltda,Henrique,PlayStation 4,38,1399,53162, Roraima (RR) ,2021-05-05,2021-06-03,Com Devolução
Rio de Janeiro,3651,Sistemas Sinérgicos Ltda,Paulo,XBOX ONE S,8,1499,11992, Espírito Santo (ES) ,2023-01-01,,Sem Devolução
São Paulo,6126,Empresas Esfera de Sinergia Ltda,Maria,XBOX 360,7,1299,9093, Maranhão (MA) ,2023-01-27,,Sem Devolução
Rio de Janeiro,1475,Sistemas Sinérgicos Ltda,Vanessa,Nintendo DS,34,389,13226, Rio Grande do Norte (RN) ,2022-10-26,,Sem Devolução
Rio de Janeiro,3173,Empresa Visionária de Inovações S.A,Taize,PlayStation 2,11,499,5489, Paraíba (PB) ,2024-08-19,,Sem Devolução
Parana,6976,Empreendimentos NovaGenius Ltda,Maria,PlayStation 2,27,499,13473, Sergipe (SE) ,2021-09-23,2021-10-16,Com Devolução
Rio de Janeiro,3713,Tecnologias Impulso Quântico Ltda,Taize,PlayStation 2,27,499,13473, Ceará (CE) ,2020-10-22,,Sem Devolução
São Paulo,5137,Indústrias ApexTech Ltda,Maria,PlayStation 4,3,1399,4197, Distrito Federal (DF) ,2023-03-09,,Sem Devolução
Rio de Janeiro,7618,Corporação NexusGen,João,PlayStation 2,25,499,12475, Rio Grande do Sul (RS) ,2020-01-09,,Sem Devolução
São Paulo,3470,Laboratórios InovateX Ltda,Taize,PlayStation 4,30,1399,41970, Ceará (CE) ,2021-07-10,,Sem Devolução
Parana,4757,Corporação TechNex,Paulo,XBOX 360,28,1299,36372, Mato Grosso do Sul (MS) ,2024-09-20,2024-10-15,Com Devolução
São Paulo,1170,Empreendimentos NovaGenius Ltda,João,PlayStation 4,6,1399,8394, Minas Gerais (MG) ,2020-01-28,,Sem Devolução
São Paulo,4993,Empresas Esfera de Sinergia Ltda,Taize,Nintendo DS,20,389,7780, Goiás (GO) ,2022-04-02,,Sem Devolução
Rio de Janeiro,4208,Empreendimentos NexusTech Ltda,João,Nintendo Wii,22,1699,37378, Roraima (RR) ,2022-05-11,2022-05-18,Com Devolução
São Paulo,8444,Grupo Dinâmica Horizon Ltda,Taize,XBOX ONE S,1,1499,1499, Piauí (PI) ,2020-08-03,,Sem Devolução
Parana,7238,Grupo Borda de Inovação Ltda,Henrique,Nintendo Wii,10,1699,16990, Distrito Federal (DF) ,2024-10-30,,Sem Devolução
São Paulo,9558,Empresa Visionária de Inovações S.A,Henrique,PlayStation 2,28,499,13972, Mato Grosso (MT) ,2021-09-02,2021-09-05,Com Devolução
Parana,5676,Tecnologias Ondas Futuras Ltda,Taize,XBOX 360,35,1299,45465, Distrito Federal (DF) ,2024-09-03,2024-09-24,Com Devolução
Parana,7010,Corporação TechVantage,Paulo,PlayStation 4,14,1399,19586, Roraima (RR) ,2020-02-25,2020-03-12,Com Devolução
Parana,6201,Empresa Visionária de Inovações S.A,João,XBOX 360,6,1299,7794, Bahia (BA) ,2021-09-17,2021-10-10,Com Devolução
Rio de Janeiro,4497,Grupo Borda de Inovação Ltda,Vanessa,Nintendo Wii,12,1699,20388, São Paulo (SP) ,2020-03-12,,Sem Devolução
Parana,9962,Corporação TechNex,Henrique,XBOX ONE S,10,1499,14990, São Paulo (SP) ,2021-10-07,,Sem Devolução
Rio de Janeiro,9149,Empreendimentos NexusTech Ltda,Paulo,Nintendo DS,32,389,12448, Amazonas (AM) ,2022-08-28,,Sem Devolução
Rio de Janeiro,6650,Corporação TechVantage,Henrique,Nintendo Wii,31,1699,52669, Paraná (PR) ,2022-07-12,2022-08-07,Com Devolução
Parana,4403,Grupo Borda de Inovação Ltda,Maria,PlayStation 2,34,499,16966, São Paulo (SP) ,2023-11-25,,Sem Devolução
São Paulo,6234,Empresa Visionária de Inovações S.A,Henrique,PlayStation 2,25,499,12475, Piauí (PI) ,2024-07-26,2024-07-26,Com Devolução
Rio de Janeiro,7902,Grupo Borda de Inovação Ltda,Vanessa,PlayStation 1,1,199,199, Santa Catarina (SC) ,2022-03-11,2022-04-06,Com Devolução
São Paulo,1343,Empreendimentos NexusTech Ltda,João,XBOX ONE S,22,1499,32978, Rondônia (RO) ,2020-03-05,,Sem Devolução
Parana,7979,InovarHub S.A,Paulo,PlayStation 2,40,499,19960, Pará (PA) ,2020-05-26,2020-06-02,Com Devolução
Parana,4843,Tecnologias Ondas Futuras Ltda,Henrique,PlayStation 4,34,1399,47566, Pará (PA) ,2021-01-09,2021-01-28,Com Devolução
São Paulo,7606,Sistemas Sinérgicos Ltda,Henrique,PlayStation 2,27,499,13473, Minas Gerais (MG) ,2022-11-26,,Sem Devolução
Parana,8810,Indústrias ApexTech Ltda,Vanessa,Game Boy,36,79,2844, Amazonas (AM) ,2022-04-01,2022-04-16,Com Devolução
Rio de Janeiro,2540,Inovação Esfera Quântica Ltda,Maria,PlayStation 2,12,499,5988, Espírito Santo (ES) ,2021-01-26,,Sem Devolução
Parana,9480,Inovação QuantumLeap Ltda,Henrique,XBOX ONE S,27,1499,40473, Tocantins (TO) ,2023-11-20,2023-11-22,Com Devolução
Parana,8189,Sistemas Sinérgicos Ltda,Maria,Nintendo DS,32,389,12448, Bahia (BA) ,2024-12-24,2025-01-10,Com Devolução
Rio de Janeiro,4393,Grupo Borda de Inovação Ltda,João,PlayStation 1,14,199,2786, Goiás (GO) ,2022-07-26,,Sem Devolução
São Paulo,5934,Empreendimentos NexusTech Ltda,João,Nintendo DS,25,389,9725, Minas Gerais (MG) ,2022-05-14,,Sem Devolução
Parana,1104,Empresas Esfera de Sinergia Ltda,Henrique,XBOX 360,35,1299,45465, Alagoas (AL) ,2023-05-12,2023-05-31,Com Devolução
São Paulo,6571,Tecnologias Impulso Quântico Ltda,Maria,Nintendo DS,38,389,14782, Paraná (PR) ,2021-04-01,2021-04-21,Com Devolução
Parana,5315,Soluções NovaTech S.A,Paulo,Nintendo DS,34,389,13226, Paraná (PR) ,2020-08-29,,Sem Devolução
Parana,2291,Soluções NovaTech S.A,João,PlayStation 2,28,499,13972, Rio Grande do Sul (RS) ,2020-03-13,,Sem Devolução
São Paulo,3686,Sistemas Sinérgicos Ltda,Paulo,Game Boy,22,79,1738, Ceará (CE) ,2024-11-10,2024-11-20,Com Devolução
Parana,5589,Indústrias ApexTech Ltda,Vanessa,XBOX ONE S,13,1499,19487, Pernambuco (PE) ,2023-06-08,,Sem Devolução
Rio de Janeiro,4354,Inovação QuantumLeap Ltda,Henrique,XBOX 360,15,1299,19485, Piauí (PI) ,2022-02-04,2022-02-05,Com Devolução
São Paulo,5318,Empresa Visionária de Inovações S.A,João,XBOX ONE S,30,1499,44970, Paraná (PR) ,2024-08-23,2024-08-23,Com Devolução
Rio de Janeiro,2092,Soluções NovaTech S.A,Paulo,XBOX ONE S,34,1499,50966, Maranhão (MA) ,2022-11-16,,Sem Devolução
Rio de Janeiro,3463,Empresa Visionária de Inovações S.A,Paulo,PlayStation 4,15,1399,20985, Paraná (PR) ,2021-03-19,2021-03-22,Com Devolução
Rio de Janeiro,8289,Soluções Núcleo Quântico Ltda,Vanessa,Game Boy,29,79,2291, Pará (PA) ,2023-07-06,,Sem Devolução
Rio de Janeiro,1826,Inovação QuantumLeap Ltda,Paulo,Nintendo DS,27,389,10503, Minas Gerais (MG) ,2023-08-16,2023-09-07,Com Devolução
São Paulo,4393,Laboratórios InovateX Ltda,Taize,Game Boy,16,79,1264, Rondônia (RO) ,2022-01-12,,Sem Devolução
Rio de Janeiro,2540,Sistemas Sinérgicos Ltda,Vanessa,PlayStation 4,36,1399,50364, Minas Gerais (MG) ,2024-05-06,,Sem Devolução
São Paulo,1951,Laboratórios InovateX Ltda,Vanessa,PlayStation 4,6,1399,8394, Pernambuco (PE) ,2024-11-10,,Sem Devolução
Rio de Janeiro,8592,Sistemas Sinérgicos Ltda,Maria,PlayStation 4,34,1399,47566, Paraíba (PB) ,2021-07-08,,Sem Devolução
Rio de Janeiro,9250,InovarHub S.A,Vanessa,PlayStation 1,14,199,2786, Bahia (BA) ,2024-01-25,2024-02-01,Com Devolução
Parana,7280,Grupo Borda de Inovação Ltda,João,Nintendo Wii,16,1699,27184, Sergipe (SE) ,2020-04-16,,Sem Devolução
Rio de Janeiro,8134,Indústrias ApexTech Ltda,Vanessa,PlayStation 2,40,499,19960, Bahia (BA) ,2024-02-16,,Sem Devolução
Rio de Janeiro,5298,Inovação Esfera Quântica Ltda,Paulo,PlayStation 2,25,499,12475, Pará (PA) ,2023-02-28,2023-03-13,Com Devolução
Parana,2702,Inovação Esfera Quântica Ltda,Vanessa,Nintendo Wii,31,1699,52669, Distrito Federal (DF) ,2022-10-17,,Sem Devolução
São Paulo,7375,Soluções NovaTech S.A,Maria,PlayStation 4,30,1399,41970, Roraima (RR) ,2022-08-25,2022-09-05,Com Devolução
Parana,7655,InovarHub S.A,Taize,PlayStation 4,39,1399,54561, São Paulo (SP) ,2021-11-24,,Sem Devolução
São Paulo,2014,Corporação TechVantage,João,XBOX 360,34,1299,44166, Paraíba (PB) ,2024-04-06,,Sem Devolução
Parana,3044,InovarHub S.A,João,Nintendo DS,1,389,389, Bahia (BA) ,2022-07-24,2022-08-12,Com Devolução
Parana,8076,Grupo Dinâmica Horizon Ltda,Henrique,PlayStation 1,36,199,7164, Ceará (CE) ,2024-06-29,,Sem Devolução
São Paulo,8697,Inovação Esfera Quântica Ltda,Maria,Game Boy,11,79,869, Paraíba (PB) ,2020-06-10,,Sem Devolução
Rio de Janeiro,5921,Empresa Visionária de Inovações S.A,Henrique,Game Boy,16,79,1264, Rio Grande do Norte (RN) ,2021-11-29,,Sem Devolução
Rio de Janeiro,6725,Soluções NovaTech S.A,João,PlayStation 4,32,1399,44768, São Paulo (SP) ,2022-11-19,,Sem Devolução
São Paulo,4684,Corporação NexusGen,Henrique,Nintendo Wii,30,1699,50970, Santa Catarina (SC) ,2024-08-15,,Sem Devolução
Parana,2652,Tecnologias Ondas Futuras Ltda,Henrique,PlayStation 1,7,199,1393, Rio Grande do Norte (RN) ,2022-04-26,,Sem Devolução
Parana,8721,Grupo Borda de Inovação Ltda,Maria,Nintendo Wii,37,1699,62863, Espírito Santo (ES) ,2021-07-20,,Sem Devolução
Parana,6175,Empresa Visionária de Inovações S.A,Taize,XBOX ONE S,2,1499,2998, Sergipe (SE) ,2021-01-17,,Sem Devolução
Rio de Janeiro,6637,Tecnologias Ondas Futuras Ltda,Taize,XBOX 360,31,1299,40269, Pará (PA) ,2022-05-31,2022-06-17,Com Devolução
Rio de Janeiro,4655,VisionáriaTech S.A,Taize,Nintendo Wii,14,1699,23786, Espírito Santo (ES) ,2022-10-20,,Sem Devolução
São Paulo,2766,Indústrias ApexTech Ltda,João,Game Boy,24,79,1896, Maranhão (MA) ,2023-08-21,,Sem Devolução
Rio de Janeiro,1896,VisionáriaTech S.A,Henrique,Nintendo DS,3,389,1167, Mato Grosso do Sul (MS) ,2024-05-28,,Sem Devolução
Rio de Janeiro,4167,VisionáriaTech S.A,Henrique,Nintendo DS,35,389,13615, Maranhão (MA) ,2023-05-08,,Sem Devolução
Parana,3970,Inovação QuantumLeap Ltda,Henrique,PlayStation 1,23,199,4577, Amazonas (AM) ,2024-10-01,2024-10-04,Com Devolução
Rio de Janeiro,4402,Tecnologias Ondas Futuras Ltda,Maria,Game Boy,11,79,869, Minas Gerais (MG) ,2023-01-05,2023-01-21,Com Devolução
Rio de Janeiro,9047,Soluções NovaTech S.A,Henrique,PlayStation 2,7,499,3493, Amapá (AP) ,2022-08-24,2022-08-24,Com Devolução
São Paulo,5555,Grupo Borda de Inovação Ltda,Paulo,XBOX ONE S,4,1499,5996, Piauí (PI) ,2021-05-27,2021-06-01,Com Devolução
São Paulo,8430,Empresa Visionária de Inovações S.A,Paulo,PlayStation 4,32,1399,44768, Paraná (PR) ,2020-09-20,,Sem Devolução
Rio de Janeiro,3523,Inovação QuantumLeap Ltda,Henrique,PlayStation 4,5,1399,6995, Tocantins (TO) ,2021-12-16,,Sem Devolução
Rio de Janeiro,8454,InovarHub S.A,Taize,Nintendo DS,22,389,8558, Espírito Santo (ES) ,2021-09-08,,Sem Devolução
São Paulo,2926,Grupo Borda de Inovação Ltda,João,Game Boy,6,79,474, Roraima (RR) ,2023-08-13,2023-09-07,Com Devolução
Rio de Janeiro,5054,Laboratórios InovateX Ltda,Maria,PlayStation 1,16,199,3184, Rio Grande do Norte (RN) ,2022-05-23,,Sem Devolução
Parana,6031,Inovação Esfera Quântica Ltda,Henrique,PlayStation 1,25,199,4975, Rio Grande do Sul (RS) ,2020-04-05,2020-04-14,Com Devolução
São Paulo,1679,Tecnologias Ondas Futuras Ltda,Taize,PlayStation 4,6,1399,8394, Rio de Janeiro (RJ) ,2020-06-07,,Sem Devolução
Parana,9077,VisionáriaTech S.A,Henrique,Nintendo DS,24,389,9336, Tocantins (TO) ,2020-07-29,,Sem Devolução
Parana,3709,Sistemas Sinérgicos Ltda,Taize,XBOX 360,1,1299,1299, Maranhão (MA) ,2023-10-20,,Sem Devolução
Rio de Janeiro,7498,Empreendimentos NovaGenius Ltda,Paulo,PlayStation 4,8,1399,11192, Mato Grosso (MT) ,2024-11-27,,Sem Devolução
Parana,1806,Indústrias ApexTech Ltda,João,Game Boy,33,79,2607, Amazonas (AM) ,2023-09-25,,Sem Devolução
Parana,7432,Grupo Borda de Inovação Ltda,Vanessa,PlayStation 4,22,1399,30778, Tocantins (TO) ,2023-10-04,,Sem Devolução
Rio de Janeiro,4649,Corporação TechNex,Vanessa,XBOX ONE S,34,1499,50966, Bahia (BA) ,2022-01-26,2022-02-12,Com Devolução
São Paulo,5260,Laboratórios InovateX Ltda,Maria,PlayStation 4,38,1399,53162, Santa Catarina (SC) ,2020-09-09,,Sem Devolução
São Paulo,1515,Tecnologias Ondas Futuras Ltda,Henrique,PlayStation 1,40,199,7960, Roraima (RR) ,2021-04-23,,Sem Devolução
Parana,9761,VisionáriaTech S.A,João,Nintendo DS,37,389,14393, Tocantins (TO) ,2021-03-25,,Sem Devolução
Rio de Janeiro,1442,Empresas Esfera de Sinergia Ltda,Paulo,Nintendo Wii,25,1699,42475, Piauí (PI) ,2022-09-18,,Sem Devolução
Parana,6257,Corporação NexusGen,Taize,PlayStation 4,3,1399,4197, Maranhão (MA) ,2022-12-29,,Sem Devolução
Rio de Janeiro,5557,Corporação TechNex,Henrique,XBOX ONE S,2,1499,2998, Pará (PA) ,2021-10-16,,Sem Devolução
São Paulo,5228,Laboratórios InovateX Ltda,Maria,PlayStation 2,26,499,12974, Rondônia (RO) ,2023-06-28,2023-07-23,Com Devolução
São Paulo,8316,Inovação QuantumLeap Ltda,Taize,PlayStation 2,29,499,14471, Pernambuco (PE) ,2023-04-12,,Sem Devolução
São Paulo,5615,Inovação QuantumLeap Ltda,Vanessa,Nintendo DS,17,389,6613, Paraíba (PB) ,2023-05-27,,Sem Devolução
São Paulo,5468,VisionáriaTech S.A,Paulo,Game Boy,29,79,2291, Amapá (AP) ,2022-11-23,,Sem Devolução
Rio de Janeiro,9379,Sistemas Sinérgicos Ltda,João,PlayStation 1,29,199,5771, Paraná (PR) ,2020-10-27,2020-11-22,Com Devolução
São Paulo,8156,Soluções NovaTech S.A,Henrique,PlayStation 1,36,199,7164, Roraima (RR) ,2023-03-12,,Sem Devolução
São Paulo,7300,Empresa Visionária de Inovações S.A,Taize,Nintendo Wii,3,1699,5097, Espírito Santo (ES) ,2024-04-16,,Sem Devolução
Parana,2573,Empresas Esfera de Sinergia Ltda,Henrique,PlayStation 1,27,199,5373, Goiás (GO) ,2020-05-21,,Sem Devolução
Rio de Janeiro,7559,Tecnologias Ondas Futuras Ltda,Taize,PlayStation 1,27,199,5373, Santa Catarina (SC) ,2020-08-08,2020-09-02,Com Devolução
Rio de Janeiro,6329,Corporação TechVantage,Maria,XBOX ONE S,36,1499,53964, Alagoas (AL) ,2021-01-03,,Sem Devolução
São Paulo,4405,Empresa Visionária de Inovações S.A,Henrique,PlayStation 2,33,499,16467, Amapá (AP) ,2024-01-22,,Sem Devolução
Rio de Janeiro,9933,Laboratórios InovateX Ltda,Paulo,XBOX 360,17,1299,22083, Roraima (RR) ,2022-11-30,,Sem Devolução
São Paulo,4864,Corporação NexusGen,Vanessa,Nintendo Wii,15,1699,25485, Rio Grande do Sul (RS) ,2022-08-16,,Sem Devolução
São Paulo,7538,Soluções NovaTech S.A,Maria,PlayStation 1,11,199,2189, Espírito Santo (ES) ,2021-10-19,2021-11-17,Com Devolução
São Paulo,5502,Empreendimentos NovaGenius Ltda,Taize,Nintendo DS,18,389,7002, Paraíba (PB) ,2024-01-01,,Sem Devolução
Parana,9082,Empreendimentos NexusTech Ltda,Paulo,Nintendo Wii,11,1699,18689, Rondônia (RO) ,2024-06-25,,Sem Devolução
Parana,9482,Corporação NexusGen,Henrique,Game Boy,4,79,316, Amazonas (AM) ,2024-10-08,,Sem Devolução
Rio de Janeiro,6018,Empresa Visionária de Inovações S.A,Vanessa,Game Boy,25,79,1975, Maranhão (MA) ,2021-09-09,,Sem Devolução
São Paulo,7712,Corporação TechNex,Maria,Nintendo Wii,12,1699,20388, Santa Catarina (SC) ,2021-03-29,2021-04-21,Com Devolução
São Paulo,4487,Inovação Esfera Quântica Ltda,Maria,Nintendo Wii,8,1699,13592, Mato Grosso (MT) ,2024-02-20,2024-03-11,Com Devolução
São Paulo,8270,Soluções NovaTech S.A,Vanessa,Nintendo DS,2,389,778, Acre (AC) ,2021-12-21,,Sem Devolução
São Paulo,8975,Corporação NexusGen,Maria,XBOX 360,5,1299,6495, Piauí (PI) ,2021-06-24,,Sem Devolução
Parana,3445,VisionáriaTech S.A,Paulo,PlayStation 4,31,1399,43369, Amapá (AP) ,2021-02-03,2021-02-25,Com Devolução
São Paulo,1586,Laboratórios InovateX Ltda,Paulo,Nintendo DS,15,389,5835, Rondônia (RO) ,2022-11-09,,Sem Devolução
Parana,9685,Empreendimentos NexusTech Ltda,Taize,XBOX ONE S,12,1499,17988, Bahia (BA) ,2023-08-11,,Sem Devolução
Parana,1367,Sistemas Sinérgicos Ltda,Maria,Nintendo DS,37,389,14393, Mato Grosso do Sul (MS) ,2020-06-13,,Sem Devolução
Rio de Janeiro,5002,Sistemas Sinérgicos Ltda,João,XBOX ONE S,19,1499,28481, Piauí (PI) ,2022-06-11,2022-06-20,Com Devolução
Parana,3336,Laboratórios InovateX Ltda,Taize,Nintendo Wii,30,1699,50970, Piauí (PI) ,2021-03-14,,Sem Devolução
Parana,1657,Laboratórios InovateX Ltda,João,Nintendo Wii,10,1699,16990, Pernambuco (PE) ,2024-12-24,,Sem Devolução
Parana,2726,VisionáriaTech S.A,Paulo,PlayStation 4,16,1399,22384, Piauí (PI) ,2022-06-01,,Sem Devolução
Rio de Janeiro,3636,Soluções NovaTech S.A,João,PlayStation 1,22,199,4378, Pará (PA) ,2020-10-22,,Sem Devolução
